task	suite	variant	text
16	LIBERO-Goal	goal_swap	put the wine bottle on the rack
17	LIBERO-Goal	original	put the bowl on the stove
17	LIBERO-Goal	para1	place the bowl onto the stove
17	LIBERO-Goal	para2	set the bowl down on the stove
17	LIBERO-Goal	para3	move the bowl so it rests on the stove
17	LIBERO-Goal	goal_swap	open the top drawer and put the bowl inside
18	LIBERO-Goal	original	put the bowl on top of the cabinet
18	LIBERO-Goal	para1	place the bowl on the cabinet’s top surface
18	LIBERO-Goal	para2	set the bowl down on top of the cabinet
18	LIBERO-Goal	para3	move the bowl up onto the cabinet
18	LIBERO-Goal	goal_swap	put the cream cheese in the bowl
19	LIBERO-Goal	original	open the middle drawer of the cabinet
19	LIBERO-Goal	para1	pull open the cabinet’s middle drawer
19	LIBERO-Goal	para2	slide the middle drawer of the cabinet open
19	LIBERO-Goal	para3	open up the middle drawer on the cabinet
19	LIBERO-Goal	goal_swap	put the wine bottle on top of the cabinet
20	LIBERO-Object	original	pick up the orange juice and place it in the basket
20	LIBERO-Object	para1	grab the orange juice and put it into the basket
20	LIBERO-Object	para2	take the orange juice and set it down in the basket
20	LIBERO-Object	para3	lift the orange juice and drop it in the basket
20	LIBERO-Object	goal_swap	pick up the milk and place it in the basket
21	LIBERO-Object	original	pick up the ketchup and place it in the basket
21	LIBERO-Object	para1	grab the ketchup and put it into the basket
21	LIBERO-Object	para2	take the ketchup and set it down in the basket
21	LIBERO-Object	para3	lift the ketchup and drop it in the basket
21	LIBERO-Object	goal_swap	pick up the salad dressing and place it in the basket
22	LIBERO-Object	original	pick up the cream cheese and place it in the basket
22	LIBERO-Object	para1	grab the cream cheese and put it into the basket
22	LIBERO-Object	para2	take the cream cheese and set it down in the basket
22	LIBERO-Object	para3	lift the cream cheese and drop it in the basket
22	LIBERO-Object	goal_swap	pick up the butter and place it in the basket
23	LIBERO-Object	original	pick up the bbq sauce and place it in the basket
23	LIBERO-Object	para1	grab the bbq sauce and put it into the basket
23	LIBERO-Object	para2	take the bbq sauce and set it down in the basket
23	LIBERO-Object	para3	lift the bbq sauce and drop it in the basket
23	LIBERO-Object	goal_swap	pick up the tomato sauce and place it in the basket
24	LIBERO-Object	original	pick up the alphabet soup and place it in the basket
24	LIBERO-Object	para1	grab the alphabet soup and put it into the basket
24	LIBERO-Object	para2	take the alphabet soup and set it down in the basket
24	LIBERO-Object	para3	lift the alphabet soup and drop it in the basket
24	LIBERO-Object	goal_swap	pick up the chocolate pudding and place it in the basket
25	LIBERO-Object	original	pick up the milk and place it in the basket
25	LIBERO-Object	para1	grab the milk and put it into the basket
25	LIBERO-Object	para2	take the milk and set it down in the basket
25	LIBERO-Object	para3	lift the milk and drop it in the basket
25	LIBERO-Object	goal_swap	pick up the orange juice and place it in the basket
26	LIBERO-Object	original	pick up the salad dressing and place it in the basket
26	LIBERO-Object	para1	grab the salad dressing and put it into the basket
26	LIBERO-Object	para2	take the salad dressing and set it down in the basket
26	LIBERO-Object	para3	lift the salad dressing and drop it in the basket
26	LIBERO-Object	goal_swap	pick up the ketchup and place it in the basket
27	LIBERO-Object	original	pick up the butter and place it in the basket
27	LIBERO-Object	para1	grab the butter and put it into the basket
27	LIBERO-Object	para2	take the butter and set it down in the basket
27	LIBERO-Object	para3	lift the butter and drop it in the basket
27	LIBERO-Object	goal_swap	pick up the cream cheese and place it in the basket
28	LIBERO-Object	original	pick up the tomato sauce and place it in the basket
28	LIBERO-Object	para1	grab the tomato sauce and put it into the basket
28	LIBERO-Object	para2	take the tomato sauce and set it down in the basket
28	LIBERO-Object	para3	lift the tomato sauce and drop it in the basket
28	LIBERO-Object	goal_swap	pick up the bbq sauce and place it in the basket
29	LIBERO-Object	original	pick up the chocolate pudding and place it in the basket
29	LIBERO-Object	para1	grab the chocolate pudding and put it into the basket
29	LIBERO-Object	para2	take the chocolate pudding and set it down in the basket
29	LIBERO-Object	para3	lift the chocolate pudding and drop it in the basket
29	LIBERO-Object	goal_swap	pick up the alphabet soup and place it in the basket
30	LIBERO-Spatial	original	pick up the black bowl next to the cookie box and place it on the plate
30	LIBERO-Spatial	para1	grab the black bowl next to the cookie box and put it on the plate
30	LIBERO-Spatial	para2	take the black bowl beside the cookie box and set it down on the plate
30	LIBERO-Spatial	para3	lift the black bowl that sits next to the cookie box and place it onto the plate
30	LIBERO-Spatial	goal_swap	pick up the black bowl on the cookie box and place it on the plate
31	LIBERO-Spatial	original	pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
31	LIBERO-Spatial	para1	grab the black bowl in the top drawer of the wooden cabinet and put it on the plate
31	LIBERO-Spatial	para2	take the black bowl inside the wooden cabinet’s top drawer and set it down on the plate
31	LIBERO-Spatial	para3	lift the black bowl that is in the top drawer of the wooden cabinet and place it onto the plate
31	LIBERO-Spatial	goal_swap	pick up the black bowl next to the plate and place it on the plate
32	LIBERO-Spatial	original	pick up the black bowl on the ramekin and place it on the plate
32	LIBERO-Spatial	para1	grab the black bowl on the ramekin and put it on the plate
32	LIBERO-Spatial	para2	take the black bowl resting on the ramekin and set it down on the plate
32	LIBERO-Spatial	para3	lift the black bowl that sits on top of the ramekin and place it onto the plate
32	LIBERO-Spatial	goal_swap	pick up the black bowl next to the ramekin and place it on the plate
33	LIBERO-Spatial	original	pick up the black bowl on the stove and place it on the plate
33	LIBERO-Spatial	para1	grab the black bowl on the stove and put it on the plate
33	LIBERO-Spatial	para2	take the black bowl resting on the stove and set it down on the plate
33	LIBERO-Spatial	para3	lift the black bowl that sits on the stove and place it onto the plate
33	LIBERO-Spatial	goal_swap	pick up the black bowl from table center and place it on the plate
34	LIBERO-Spatial	original	pick up the black bowl between the plate and the ramekin and place it on the plate
34	LIBERO-Spatial	para1	grab the black bowl between the plate and the ramekin and put it on the plate
34	LIBERO-Spatial	para2	take the black bowl in between the plate and the ramekin and set it down on the plate
34	LIBERO-Spatial	para3	lift the black bowl that sits between the plate and the ramekin and place it onto the plate
34	LIBERO-Spatial	goal_swap	pick up the black bowl on the wooden cabinet and place it on the plate
35	LIBERO-Spatial	original	pick up the black bowl on the cookie box and place it on the plate
35	LIBERO-Spatial	para1	grab the black bowl on the cookie box and put it on the plate
35	LIBERO-Spatial	para2	take the black bowl resting on the cookie box and set it down on the plate
35	LIBERO-Spatial	para3	lift the black bowl that sits on top of the cookie box and place it onto the plate
35	LIBERO-Spatial	goal_swap	pick up the black bowl next to the cookie box and place it on the plate
36	LIBERO-Spatial	original	pick up the black bowl next to the plate and place it on the plate
36	LIBERO-Spatial	para1	grab the black bowl next to the plate and put it on the plate
36	LIBERO-Spatial	para2	take the black bowl beside the plate and set it down on the plate
36	LIBERO-Spatial	para3	lift the black bowl that sits next to the plate and place it onto the plate
36	LIBERO-Spatial	goal_swap	pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
37	LIBERO-Spatial	original	pick up the black bowl next to the ramekin and place it on the plate
37	LIBERO-Spatial	para1	grab the black bowl next to the ramekin and put it on the plate
37	LIBERO-Spatial	para2	take the black bowl beside the ramekin and set it down on the plate
37	LIBERO-Spatial	para3	lift the black bowl that sits next to the ramekin and place it onto the plate
37	LIBERO-Spatial	goal_swap	pick up the black bowl on the ramekin and place it on the plate
38	LIBERO-Spatial	original	pick up the black bowl from table center and place it on the plate
38	LIBERO-Spatial	para1	grab the black bowl from table center and put it on the plate
38	LIBERO-Spatial	para2	take the black bowl from the middle of the table and set it down on the plate
38	LIBERO-Spatial	para3	lift the black bowl that sits at the center of the table and place it onto the plate
38	LIBERO-Spatial	goal_swap	pick up the black bowl on the stove and place it on the plate
39	LIBERO-Spatial	original	pick up the black bowl on the wooden cabinet and place it on the plate
39	LIBERO-Spatial	para1	grab the black bowl on the wooden cabinet and put it on the plate
39	LIBERO-Spatial	para2	take the black bowl resting on the wooden cabinet and set it down on the plate
39	LIBERO-Spatial	para3	lift the black bowl that sits on top of the wooden cabinet and place it onto the plate
39	LIBERO-Spatial	goal_swap	pick up the black bowl between the plate and the ramekin and place it on the plate
